序号,严重程度,问题类型,项目名称,检查日期,文件名,桩号,行号,疑似原因,建议复核项,详细信息,是否整改,整改说明
1,严重,实际孔深不足,测试无默认桩径,2026-06-21,2026-06-21_三区桩基记录.xlsx,ZH2,3,实际孔深 24.80m 低于设计桩长 25.00m，短少 0.20m,复核孔深测量记录，确认是否存在测绳误差或孔底沉渣过厚,第 3 行，差值 -0.20m,,
2,严重,实际孔深不足,测试无默认桩径,2026-06-21,2026-06-21_四区异常记录.csv,ZK18,7,实际孔深 26.80m 低于设计桩长 27.00m，短少 0.20m,复核孔深测量记录，确认是否存在测绳误差或孔底沉渣过厚,第 7 行，差值 -0.20m,,
3,严重,桩号缺失,测试无默认桩径,2026-06-21,(汇总),(连号检查),,"桩号范围 ZK1~ZK18 之间存在断号: ZK4, ZK5, ZK10, ZK11, ZK14, ZK17",检查断号桩是否漏报或设计变更取消,缺失 6 根,,
4,严重,桩号为空,测试无默认桩径,2026-06-21,2026-06-21_四区异常记录.csv,(空),3,"该行桩号为空（设计桩长=28.0, 方量=9.6），其他字段已填写，疑似漏填桩号",补填桩号后再审；如为汇总/空行请删除整行,第 3 行,,
5,严重,桩号为空,测试无默认桩径,2026-06-21,2026-06-21_四区异常记录.csv,(空),6,该行桩号为空（设计桩长=24.0），其他字段已填写，疑似漏填桩号,补填桩号后再审；如为汇总/空行请删除整行,第 6 行,,
6,警告,成孔到灌注间隔过长,测试无默认桩径,2026-06-21,2026-06-21_二区桩基记录.csv,ZK12,7,灌注时间 2026-06-21 19:00 早于成孔时间 2026-06-22 08:00，时间逻辑矛盾,检查成孔时间和灌注时间填报是否颠倒或格式错误,第 7 行,,
7,警告,混凝土方量差异超限,测试无默认桩径,2026-06-21,2026-06-21_三区桩基记录.xlsx,ZH2,3,混凝土记录方量 8.80m³，理论方量 8.20m³，超灌 7.3%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 3 行，偏差 +7.3%，阈值 ±5%,,
8,警告,混凝土方量差异超限,测试无默认桩径,2026-06-21,2026-06-21_四区异常记录.csv,ZK15,4,混凝土记录方量 10.80m³，理论方量 15.08m³，少灌 28.4%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 4 行，偏差 -28.4%，阈值 ±5%,,
9,提示,关键字段缺失,测试无默认桩径,2026-06-21,2026-06-21_二区桩基记录.csv,ZK12,7,关键字段缺失: 实际孔深,补充缺失数据后再审,第 7 行,,
10,提示,理论方量无法计算,测试无默认桩径,2026-06-21,2026-06-21_四区异常记录.csv,ZK16,5,"有混凝土方量但无法计算理论值，缺少: 理论方量列, 桩径列",补填理论方量或桩径+设计桩长，以便核对砼用量,第 5 行,,
